"external_id","week","mo","tu","we","th","fr","sa","q2","group"
"f865c",5,3.964,3.956,2.097,2.285,3.879,3.997,4,"lts"
"00c2c",6,3.883,3.966,3.916,3.88,2.172,2.023,5,"lts"
"0d293",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"27e23",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"365cd",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"3adab",6,3.883,3.966,3.916,3.88,2.172,2.023,2,"lts"
"50bf3",6,3.883,3.966,3.916,3.88,2.172,2.023,2,"lts"
"54ed7",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"559e2",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"5870e",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"5c3d1",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"7d03b",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"88df4",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"898c1",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"9d7d1",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"a711f",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"bb4ea",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"bd209",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"c05b7",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"c42b6",6,3.883,3.966,3.916,3.88,2.172,2.023,5,"lts"
"d45b5",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"f75f6",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"f7c29",6,3.883,3.966,3.916,3.88,2.172,2.023,3,"lts"
"f865c",6,3.883,3.966,3.916,3.88,2.172,2.023,4,"lts"
"00c2c",7,2.125,1.891,3.999,3.896,3.978,3.912,5,"lts"
"023ce",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"0d293",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"343ab",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"40c71",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"54ed7",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"559e2",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"57ea9",7,2.125,1.891,3.999,3.896,3.978,3.912,5,"lts"
"5870e",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"5aa56",7,2.125,1.891,3.999,3.896,3.978,3.912,5,"lts"
"7d03b",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"88df4",7,2.125,1.891,3.999,3.896,3.978,3.912,3,"lts"
"898c1",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"8a560",7,2.125,1.891,3.999,3.896,3.978,3.912,3,"lts"
"8caa8",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"9d7d1",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"a711f",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"b7150",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"bb4ea",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"bb8d0",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"bd209",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"c05b7",7,2.125,1.891,3.999,3.896,3.978,3.912,5,"lts"
"d45b5",7,2.125,1.891,3.999,3.896,3.978,3.912,3,"lts"
"f75f6",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"f7c29",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"f865c",7,2.125,1.891,3.999,3.896,3.978,3.912,4,"lts"
"00c2c",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"0d293",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"lts"
"3adab",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"40c71",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"54ed7",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"57ea9",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"5aa56",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"5c3d1",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"88df4",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"lts"
"898c1",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"9d7d1",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"a711f",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"lts"
"bb4ea",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"lts"
"bd209",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"c05b7",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"c42b6",8,2.096,2.047,4.126,4.138,2.026,2.09,4,"lts"
"d45b5",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"f0ed7",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"f7c29",8,2.096,2.047,4.126,4.138,2.026,2.09,2,"lts"
"f865c",8,2.096,2.047,4.126,4.138,2.026,2.09,3,"lts"
"00c2c",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"0d293",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"27e23",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"3adab",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"40c71",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"559e2",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"57ea9",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"5aa56",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"5c3d1",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"7d03b",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"lts"
"88df4",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"lts"
"a711f",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"lts"
"b7150",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"bb4ea",9,2.129,2.148,2.064,2.019,4.182,4.182,2,"lts"
"bb8d0",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"bd209",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"c05b7",9,2.129,2.148,2.064,2.019,4.182,4.182,4,"lts"
"c42b6",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"c565b",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"d45b5",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"f865c",9,2.129,2.148,2.064,2.019,4.182,4.182,3,"lts"
"00c2c",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"0d293",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"27e23",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"3adab",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"54ed7",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"559e2",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"57ea9",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"5870e",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"5c3d1",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"7d03b",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"88df4",10,4.182,4.148,2.01,2.059,1.945,2.066,1,"lts"
"8a560",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"8caa8",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"a711f",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"bb4ea",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"bb8d0",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"bd209",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"c05b7",10,4.182,4.148,2.01,2.059,1.945,2.066,4,"lts"
"c42b6",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"c565b",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"d45b5",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"f75f6",10,4.182,4.148,2.01,2.059,1.945,2.066,2,"lts"
"f865c",10,4.182,4.148,2.01,2.059,1.945,2.066,3,"lts"
"00c2c",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"0d293",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"27e23",11,2.02,2.049,3.922,3.981,2.093,2.042,2,"lts"
"343ab",11,2.02,2.049,3.922,3.981,2.093,2.042,2,"lts"
"365cd",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"3adab",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"40c71",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"5542e",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"559e2",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"57ea9",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"5aa56",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"5c3d1",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"88df4",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"8a560",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"9d7d1",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"a711f",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"b7150",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"bb4ea",11,2.02,2.049,3.922,3.981,2.093,2.042,2,"lts"
"bd209",11,2.02,2.049,3.922,3.981,2.093,2.042,2,"lts"
"c05b7",11,2.02,2.049,3.922,3.981,2.093,2.042,4,"lts"
"c42b6",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"c565b",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"f7c29",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"f865c",11,2.02,2.049,3.922,3.981,2.093,2.042,3,"lts"
"00c2c",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"0d293",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"27e23",12,2.132,2.103,2.013,2.1,3.95,3.991,2,"lts"
"365cd",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"3adab",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"40c71",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
"5542e",12,2.132,2.103,2.013,2.1,3.95,3.991,3,"lts"
